Threshold_Factor,Detected_Cells,True_Cells,False_Alarm_Cells,False_Cells,Detection_Rate,False_Alarm_Rate
3.45,369686,391135,97464,7849505,0.9451621562887494,0.012416579134607851
3.5,369622,391135,94980,7849505,0.9449985299193373,0.012100126058904351
3.5500000000000003,368568,391135,90683,7849505,0.9423038081480819,0.011552703004839158
3.6,367736,391135,87632,7849505,0.9401766653457246,0.01116401607489899
3.6500000000000004,366950,391135,84299,7849505,0.9381671289963823,0.010739403312692967
3.7,366502,391135,81352,7849505,0.9370217444104977,0.010363965625857936
3.75,366502,391135,78532,7849505,0.9370217444104977,0.010004707303199373
3.8000000000000003,364068,391135,75864,7849505,0.9307988290487939,0.009664813258925244
3.85,362961,391135,73588,7849505,0.9279686041903691,0.009374858669432022
3.9000000000000004,361850,391135,71432,7849505,0.925128152683856,0.009100191668137036
3.95,361850,391135,69684,7849505,0.925128152683856,0.008877502466716054
4.0,361850,391135,68000,7849505,0.925128152683856,0.008662966645667465
4.05,359698,391135,66068,7849505,0.9196262160123743,0.008416836475675855
4.1000000000000005,358120,391135,64227,7849505,0.9155918033415572,0.00818229939340124
4.15,357272,391135,62456,7849505,0.913423753946847,0.00795668007090893
4.2,357272,391135,59969,7849505,0.913423753946847,0.007639844805500474
4.25,357272,391135,58688,7849505,0.913423753946847,0.0074766498014842975
4.3,356632,391135,57106,7849505,0.9117874902527261,0.00727510843040421
4.3500000000000005,354611,391135,55892,7849505,0.9066204763061347,0.007120448996465382
4.4,353436,391135,54408,7849505,0.9036163984302095,0.0069313924890805215
4.45,352940,391135,53326,7849505,0.9023482940672658,0.006793549402159754
4.5,352940,391135,52291,7849505,0.9023482940672658,0.006661693953949962
4.55,352491,391135,51226,7849505,0.9012003528193591,0.006526016608690612
4.6000000000000005,352113,391135,50262,7849505,0.9002339345750189,0.006403206316831444
4.65,351361,391135,49364,7849505,0.8983113247344268,0.0062888041984813054
4.7,349912,391135,48103,7849505,0.894606721464456,0.006128157125831502
4.75,347487,391135,46830,7849505,0.8884068160609508,0.005965981294361874
4.800000000000001,346619,391135,45971,7849505,0.8861876334257993,0.005856547642176163
4.8500000000000005,345645,391135,45158,7849505,0.883697444616309,0.005752974232133109
