Threshold_Factor,Detected_Cells,True_Cells,False_Alarm_Cells,False_Cells,Detection_Rate,False_Alarm_Rate
5.5,367107,391135,98977,7849505,0.9385685249338463,0.012609330142473953
5.550000000000001,367107,391135,97474,7849505,0.9385685249338463,0.012417853100291037
5.6000000000000005,367107,391135,95625,7849505,0.9385685249338463,0.012182296845469873
5.65,367107,391135,93706,7849505,0.9385685249338463,0.011937822830866404
5.7,366187,391135,91909,7849505,0.9362163958735475,0.01170889119759781
5.75,364228,391135,88582,7849505,0.9312078949723241,0.011285042814801697
5.800000000000001,364228,391135,86419,7849505,0.9312078949723241,0.01100948403752848
5.8500000000000005,364228,391135,84677,7849505,0.9312078949723241,0.010787559215517412
5.9,364228,391135,82691,7849505,0.9312078949723241,0.010534549630836594
5.95,364228,391135,81423,7849505,0.9312078949723241,0.01037301078220856
6.0,364228,391135,79413,7849505,0.9312078949723241,0.010116943679888095
6.050000000000001,364228,391135,78181,7849505,0.9312078949723241,0.00995999110771953
6.1000000000000005,363843,391135,76269,7849505,0.9302235800938295,0.009716408869094292
6.15,363843,391135,74771,7849505,0.9302235800938295,0.009525568809752971
6.2,363591,391135,73231,7849505,0.9295793012642694,0.009329378094542267
6.25,363591,391135,71806,7849505,0.9295793012642694,0.009147837984688207
6.300000000000001,363495,391135,69981,7849505,0.9293338617101512,0.00891533924750669
6.3500000000000005,362335,391135,68944,7849505,0.926368133764557,0.008783229006160262
6.4,362335,391135,67899,7849505,0.926368133764557,0.008650099592267283
6.45,360347,391135,66862,7849505,0.9212854896646938,0.008517989350920855
6.5,360347,391135,65911,7849505,0.9212854896646938,0.008396835214449828
6.550000000000001,360347,391135,64964,7849505,0.9212854896646938,0.008276190664252076
6.6000000000000005,359117,391135,63675,7849505,0.9181407953775551,0.00811197648768935
6.65,359053,391135,62790,7849505,0.917977169008143,0.007999230524727355
6.7,359053,391135,61976,7849505,0.917977169008143,0.007895529718115983
6.75,359053,391135,61142,7849505,0.917977169008143,0.007789280980138238
6.800000000000001,357361,391135,59596,7849505,0.9136512968668107,0.0075923258855176215
6.8500000000000005,357361,391135,58815,7849505,0.9136512968668107,0.007492829165660765
6.9,357361,391135,58042,7849505,0.9136512968668107,0.007394351618350456
6.95,357361,391135,57250,7849505,0.9136512968668107,0.007293453536242094
7.0,357361,391135,56526,7849505,0.9136512968668107,0.0072012184207794
7.050000000000001,357361,391135,55857,7849505,0.9136512968668107,0.007115990116574229
7.1000000000000005,356500,391135,55078,7849505,0.9114500108658136,0.00701674818985401
7.15,356500,391135,54011,7849505,0.9114500108658136,0.0068808160514580215
7.2,356500,391135,52938,7849505,0.9114500108658136,0.006744119533652122
7.25,355532,391135,52277,7849505,0.9089751620284556,0.006659910401993502
7.300000000000001,354732,391135,51203,7849505,0.9069298324108045,0.006523086487619283
7.3500000000000005,354732,391135,50591,7849505,0.9069298324108045,0.006445119787808276
7.4,354444,391135,49971,7849505,0.90619351374845,0.006366133915450719
7.45,354444,391135,49352,7849505,0.90619351374845,0.006287275439661482
7.5,354348,391135,48781,7849505,0.9059480741943319,0.006214531999151539
7.550000000000001,354348,391135,48252,7849505,0.9059480741943319,0.006147139214510979
7.6000000000000005,354348,391135,47361,7849505,0.9059480741943319,0.006033628872139071
7.65,353549,391135,46797,7849505,0.9039053012387027,0.005961777207607359
7.7,353549,391135,45883,7849505,0.9039053012387027,0.005845336744164122
7.75,353485,391135,45388,7849505,0.9037416748692907,0.005782275442846396
7.800000000000001,352939,391135,44863,7849505,0.9023457374052437,0.00571539224447911
7.8500000000000005,352422,391135,44305,7849505,0.9010239431398366,0.00564430495935731
7.9,352326,391135,43076,7849505,0.9007785035857185,0.005487734576893702
7.95,351480,391135,42595,7849505,0.8986155675150523,0.005426456827532437
8.0,351480,391135,42121,7849505,0.8986155675150523,0.005366070854149402
8.05,351480,391135,41267,7849505,0.8986155675150523,0.005257274184805284
8.1,351480,391135,40819,7849505,0.8986155675150523,0.005200200522198534
8.15,350305,391135,40027,7849505,0.8956114896391272,0.005099302440090171
8.200000000000001,350305,391135,39581,7849505,0.8956114896391272,0.0050424835706200585
8.25,350209,391135,39150,7849505,0.895366050085009,0.004987575649674725
8.3,349329,391135,38346,7849505,0.8931161875055927,0.004885148808746539
8.35,349329,391135,37548,7849505,0.8931161875055927,0.004783486347228264
8.4,347204,391135,37138,7849505,0.8876832807087067,0.004731253754217623
8.450000000000001,347204,391135,36003,7849505,0.8876832807087067,0.004586658649175967
8.5,346356,391135,35233,7849505,0.8855152313139965,0.004488563291570615
8.55,344899,391135,34837,7849505,0.8817901747478492,0.004438114250516434
8.6,344899,391135,34443,7849505,0.8817901747478492,0.00438792000259889
8.65,342479,391135,34079,7849505,0.8756030526544544,0.004341547651730906
8.700000000000001,342287,391135,33358,7849505,0.8751121735462181,0.004249694725973166
8.75,342287,391135,33016,7849505,0.8751121735462181,0.004206125099608192
8.8,339369,391135,32667,7849505,0.8676518337658353,0.0041616636972649865
8.85,338729,391135,32309,7849505,0.8660155700717144,0.004116055725806914
8.9,338729,391135,31983,7849505,0.8660155700717144,0.004074524444535038
8.950000000000001,338729,391135,31672,7849505,0.8660155700717144,0.004034904111787941
9.0,338729,391135,31359,7849505,0.8660155700717144,0.003995028985904207
9.05,338729,391135,31067,7849505,0.8660155700717144,0.003957829187955164
9.1,338729,391135,30729,7849505,0.8660155700717144,0.003914769147863464
9.15,338729,391135,30441,7849505,0.8660155700717144,0.003878078936187696
9.200000000000001,338729,391135,30151,7849505,0.8660155700717144,0.0038411339313752907
9.25,338729,391135,29837,7849505,0.8660155700717144,0.003801131408923238
9.3,338729,391135,29180,7849505,0.8660155700717144,0.003717431863537892
9.35,337930,391135,28925,7849505,0.8639727971160852,0.003684945738616639
9.4,337930,391135,28661,7849505,0.8639727971160852,0.0036513130445805183
9.450000000000001,337090,391135,28361,7849505,0.8618252010175514,0.0036130940740849264
9.5,337090,391135,28076,7849505,0.8618252010175514,0.003576786052114114
9.55,336526,391135,27808,7849505,0.8603832436371074,0.003542643771804719
9.600000000000001,336526,391135,27524,7849505,0.8603832436371074,0.0035064631464022254
9.65,336526,391135,27252,7849505,0.8603832436371074,0.0034718112798195555
9.700000000000001,335408,391135,27000,7849505,0.8575248954964398,0.0034397073446032584
9.75,335408,391135,26754,7849505,0.8575248954964398,0.003408367788796873
9.8,335408,391135,26500,7849505,0.8575248954964398,0.0033760090604439386
9.850000000000001,335408,391135,26269,7849505,0.8575248954964398,0.0033465804531623332
9.9,335408,391135,26023,7849505,0.8575248954964398,0.003315240897355948
9.950000000000001,334468,391135,25801,7849505,0.8551216331956997,0.00328695885918921
10.0,334468,391135,25574,7849505,0.8551216331956997,0.0032580398381808788
10.05,334468,391135,25334,7849505,0.8551216331956997,0.0032274646617844057
10.100000000000001,333892,391135,25111,7849505,0.8536489958709909,0.003199055227049349
10.15,331634,391135,24878,7849505,0.8478760530251703,0.003169371826631106
10.200000000000001,330760,391135,24679,7849505,0.8456415304178864,0.003144019909535697
10.25,330760,391135,24082,7849505,0.8456415304178864,0.0030679641582494694
10.3,330760,391135,23863,7849505,0.8456415304178864,0.003040064309787687
10.350000000000001,329770,391135,23654,7849505,0.8431104350160431,0.0030134384270090915
10.4,329770,391135,23451,7849505,0.8431104350160431,0.002987576923640408
10.450000000000001,329770,391135,23242,7849505,0.8431104350160431,0.0029609510408618125
10.5,329770,391135,23036,7849505,0.8431104350160431,0.0029347073477881728
10.55,329770,391135,22830,7849505,0.8431104350160431,0.002908463654714533
10.600000000000001,329770,391135,22627,7849505,0.8431104350160431,0.002882602151345849
10.65,329770,391135,22465,7849505,0.8431104350160431,0.0028619639072782295
10.700000000000001,329157,391135,22278,7849505,0.8415432011965178,0.002838140749002644
10.75,328499,391135,21758,7849505,0.8398609175859997,0.002771894533476952
10.8,327671,391135,21554,7849505,0.8377440014317308,0.0027459056335399495
10.850000000000001,327671,391135,21371,7849505,0.8377440014317308,0.0027225920615376385
10.9,326747,391135,21199,7849505,0.8353816457233436,0.0027006798517868326
10.950000000000001,326747,391135,20994,7849505,0.8353816457233436,0.0026745635552815113
11.0,326747,391135,20856,7849505,0.8353816457233436,0.002656982828853539
11.05,326747,391135,20670,7849505,0.8353816457233436,0.0026332870671462723
11.100000000000001,324945,391135,20497,7849505,0.8307745407595842,0.002611247460827148
11.15,324945,391135,20342,7849505,0.8307745407595842,0.002591500992737759
11.200000000000001,323649,391135,20181,7849505,0.8274611067789893,0.0025709901452384575
11.25,323649,391135,20036,7849505,0.8274611067789893,0.002552517642832255
11.3,321310,391135,19872,7849505,0.8214810743093817,0.0025316246056279984
11.350000000000001,321310,391135,19742,7849505,0.8214810743093817,0.002515063051746575
11.4,321310,391135,19607,7849505,0.8214810743093817,0.0024978645150235588
11.450000000000001,321310,391135,19465,7849505,0.8214810743093817,0.0024797742023223122
11.5,321310,391135,19322,7849505,0.8214810743093817,0.002461556493052747
11.55,321310,391135,19159,7849505,0.8214810743093817,0.0024407908524168086
11.600000000000001,321310,391135,19011,7849505,0.8214810743093817,0.00242193616030565
11.65,321310,391135,18859,7849505,0.8214810743093817,0.0024025718819212167
11.700000000000001,321310,391135,18741,7849505,0.8214810743093817,0.0023875390868596173
11.75,321310,391135,18236,7849505,0.8214810743093817,0.0023232038198587046
11.8,321310,391135,18108,7849505,0.8214810743093817,0.0023068970591139186
11.850000000000001,320122,391135,18011,7849505,0.8184437598271697,0.0022945395919870106
11.9,320122,391135,17884,7849505,0.8184437598271697,0.0022783602278105435
11.950000000000001,320122,391135,17751,7849505,0.8184437598271697,0.0022614164842241643
12.0,320122,391135,17643,7849505,0.8184437598271697,0.0022476576548457515
12.05,320122,391135,17524,7849505,0.8184437598271697,0.0022324974632158333
12.100000000000001,319041,391135,17399,7849505,0.8156800081813185,0.0022165728921760036
12.15,319041,391135,16911,7849505,0.8156800081813185,0.0021544033668365074
12.200000000000001,319041,391135,16788,7849505,0.8156800081813185,0.0021387335889333147
12.25,319041,391135,16693,7849505,0.8156800081813185,0.002126630914943044
12.3,317987,391135,16588,7849505,0.8129852864100631,0.0021132542752695872
12.350000000000001,317987,391135,16481,7849505,0.8129852864100631,0.0020996228424594926
12.4,317987,391135,16378,7849505,0.8129852864100631,0.0020865009959226727
12.450000000000001,317987,391135,16271,7849505,0.8129852864100631,0.0020728695631125785
12.5,317987,391135,16159,7849505,0.8129852864100631,0.002058601147460891
12.55,317987,391135,16046,7849505,0.8129852864100631,0.0020442053352408844
12.600000000000001,317987,391135,15923,7849505,0.8129852864100631,0.002028535557337692
12.65,316635,391135,15817,7849505,0.8095286793562325,0.0020150315210959164
12.700000000000001,316128,391135,15724,7849505,0.8082324517110461,0.0020031836402422828
12.75,316128,391135,15641,7849505,0.8082324517110461,0.0019926097250718357
12.8,316128,391135,15532,7849505,0.8082324517110461,0.001978723499125104
12.850000000000001,316068,391135,15432,7849505,0.8080790519897222,0.00196598384229324
12.9,316068,391135,15317,7849505,0.8080790519897222,0.0019513332369365966
12.950000000000001,315522,391135,15209,7849505,0.8066831145256753,0.0019375744075581837
13.0,312915,391135,15109,7849505,0.8000178966341545,0.0019248347507263197
13.05,312116,391135,15011,7849505,0.7979751236785253,0.0019123498870310931
13.100000000000001,312116,391135,14892,7849505,0.7979751236785253,0.0018971896954011749
13.15,312116,391135,14781,7849505,0.7979751236785253,0.001883048676317806
13.200000000000001,312116,391135,14323,7849505,0.7979751236785253,0.0018247010480278692
13.25,312116,391135,14235,7849505,0.7979751236785253,0.001813490150015829
13.3,311505,391135,14125,7849505,0.7964130031830442,0.0017994765275007787
13.350000000000001,311085,391135,14030,7849505,0.7953392051337773,0.001787373853510508
13.4,311085,391135,13946,7849505,0.7953392051337773,0.0017766725417717422
13.450000000000001,311085,391135,13852,7849505,0.7953392051337773,0.0017646972643497903
13.5,311085,391135,13394,7849505,0.7953392051337773,0.0017063496360598535
13.55,311085,391135,13297,7849505,0.7953392051337773,0.0016939921689329454
13.600000000000001,311085,391135,13204,7849505,0.7953392051337773,0.001682144288079312
13.65,310145,391135,13084,7849505,0.7929359428330371,0.0016668566998810754
13.700000000000001,310145,391135,12997,7849505,0.7929359428330371,0.0016557731984373537
13.75,310145,391135,12908,7849505,0.7929359428330371,0.0016444349038569948
13.8,310145,391135,12806,7849505,0.7929359428330371,0.0016314404538884937
13.850000000000001,309263,391135,12730,7849505,0.7906809669295768,0.0016217583146962771
13.9,309263,391135,12622,7849505,0.7906809669295768,0.001607999485317864
13.950000000000001,307741,391135,12523,7849505,0.7867897273319954,0.0015953872250543187
14.0,306949,391135,12431,7849505,0.7847648510105206,0.001583666740769004
14.05,306949,391135,12340,7849505,0.7847648510105206,0.0015720736530520077
14.100000000000001,306949,391135,12252,7849505,0.7847648510105206,0.0015608627550399675
14.15,306197,391135,12154,7849505,0.7828422411699285,0.001548377891344741
14.200000000000001,306197,391135,12049,7849505,0.7828422411699285,0.0015350012516712837
14.25,305267,391135,11959,7849505,0.780464545489409,0.001523535560522606
14.3,305267,391135,11864,7849505,0.780464545489409,0.0015114328865323354
14.350000000000001,305267,391135,11760,7849505,0.780464545489409,0.001498183643427197
14.4,305267,391135,11652,7849505,0.780464545489409,0.001484424814048784
14.450000000000001,304883,391135,11548,7849505,0.7794827872729364,0.0014711755709436456
14.5,304755,391135,11073,7849505,0.7791555345341122,0.0014106622009922918
14.55,304755,391135,10947,7849505,0.7791555345341122,0.0013946102333841433
14.600000000000001,304755,391135,10836,7849505,0.7791555345341122,0.0013804692143007744
14.65,304755,391135,10749,7849505,0.7791555345341122,0.0013693857128570528
14.700000000000001,303766,391135,10286,7849505,0.776626995794291,0.0013104011017255229
14.75,303766,391135,10179,7849505,0.776626995794291,0.0012967696689154284
